,Unnamed: 0,Body,Label
2469,2469,"Subject: stock promo mover : cwtd
 * * * urgent investor trading alert * * *
 weekly stock pick - - china world trade corp . ( ticker : cwtd )
 * * breaking news * *
 china world trade corp . enters into agreement to acquire
 majority stake in ceo clubs china limited ( the ceo clubs )
 tianhe , guangzhou , china - - ( market wire ) - - apr 7 , 2004 - - china world trade corp
 ( otc bb : cwtd . ob - news ) announced today that it has entered into an agreement to
 acquired majority stake in ceo clubs china limited ( the ceo clubs ) , a hong
 kong corporation with authorized chapter to operate under the ceo clubs
 trademarks in the greater china region , including the prc , hong kong and taiwan .
 china world trade corp .
 symbol : cwtd
 price $ 4 . 80
 shares out : 16 million
 market capitalization : $ 19 million
 significant revenue growth in 2004
 average pe industry : 30 x
 rating : strong buy
 7 days trading target : $ 6 . 50
 30 day trading target : $ 7 . 50
 cwtd is our play of the month stock pick .
 here are a few simple reasons why one would own china world trade corp :
 china world trade corp announced today that it has entered into an agreement
 to acquired majority stake in ceo clubs china limited ( the ceo clubs ) , a hong
 kong corporation with authorized chapter to operate under the ceo clubs
 trademarks in the greater china region , including the prc , hong kong and taiwan .
 china world trade corp has just gotten 1 . 2 million cash for working capital
 from a single shareholder ! !
 has acquired multiple companies in the past few months resulting in huge assets
 for the company
 china world trade corp is in the process of being accepted onto the amex
 china world trade corporation is an official operator of world trade centers
 in china , in association with the world trade centers association ( wtca ) and
 offers an enormous variety of services for businesses and industries seeking
 to do business in china .
 the company ' s business model consists of three major components - - the world
 trade center business , value - added services , and strategic investments .
 china world trade corporation established the first world trade center in the
 province of guangzhou ( canton ) in the year 2002 and started the commercial operation
 at the beginning of 2003 . this significant event was covered in detail on cnn
 asia .
 with the recent tragic events of 9 - 11 , the name world trade center has instant
 global recognition , and stands for unity , strength and prosperity throughout
 the worlds top economy leaders .
 china world trade corp signs letter of intent to acquire controlling stake
 of guangdong huahao industries holdings limited
 cwtd ' s business potential is built upon the opportunity created by the international
 trade of china .
 investment outlook
 - cwtd has a strong management team that includes top local corporate officers ,
 high ranking senior government officials and senior management from the hong
 kong world trade center
 - in the last twenty years , the foreign direct investment into china has increased
 from 0 . 92 billion usd in 1983 to 52 . 74 billion usd in 2004
 - cwtd is firmly positioned to vastly expand its marketing and acquisition
 strategies and capitalize on asia ' s multi - billion dollar emerging market .
 - cwtd has just made the application to list on the amex ! ! !
 - china world trade corp signs letter of intent to acquire controlling stake
 of guangdong huahao industries holdings limited
 information within this email contains forward looking statements
 within the meaning of section 27 a of the securities act of 1933 and section
 21 b of the securities exchange act of 1934 . any statements that express or involve
 discussions with respect to predictions , goals , expectations , beliefs , plans ,
 projections , objectives , assumptions or future events or performance are not
 statements of historical fact and may be forward looking statements .
 zhnwz cgwop ntytd vtmtd ryvka rywrbdqxfb cruma
 jvqon pgcwj egrdg fdotc tyovo kebkb
 forward looking statements are based on expectations , estimates and projections
 at the time the statements are made that involve a number of risks and uncertainties
 which could cause actual results or events to differ materially from those presently
 anticipated . forward looking statements in this action may be identified through
 the use of words such as : projects , foresee , expects ,
 estimates , believes , understands will ,
 anticipates , or that by statements indicating certain actions may ,
 could , or might occur . all information provided within
 this email pertaining to investing , stocks , securities must be understood as
 information provided and not investment advice . we advise all readers and subscribers
 to seek advice from a registered professional securities representative before
 deciding to trade in stocks featured within this email . none of the material
 within this report shall be construed as any kind of investment advice . gs research
 and / or its officers and employees have been compensated 50 , 000 open trade shares
 by a third party for work involved in the preparation and production of this
 report
 in compliance with section 17 ( b ) , we disclose the holding of independently
 purchased shares of the company mentioned prior to the publication of this report . .
 be aware of an inherent conflict of interest resulting from such holdings due
 to our intent to profit from the liquidation of these shares . shares may be
 sold at any time , even after positive statements have been made regarding the
 above company . short term trading targets are only guesses on our part . keep
 in mind that when trading small stocks like the company above there is a chance
 you will lose every penny you invest . furthermore there have been times in the
 past when the company itself tells lies , gives false information and puts out
 false news . this email is for entertainment purposes only . this is not investment
 advice . we suggest you check with an investment professional before investing
 any stocks or mutual funds .
 pkmdk evorz gjdhb zcqym qretp hyexrpchju euqlb
 tszve zitda xyueq xkumc kuhwz haeex
",1
5063,5063,"Subject: are you listed in major search engines ?
 submitting your website in search engines may increase
 your online sales dramatically .
 lf you invested time and money into your website , you
 simply must submit your website
 oniine otherwise it wili be invisible virtuaiiy , which means efforts spent in vain .
 lf you want
 peopie to know about your website and boost your revenues , the only way to do
 that is to
 make your site visible in places
 where people search for information , i . e .
 submit your
 website in multipie search engines .
 submit your website online
 and watch visitors stream to your e - business .
 best reqards ,
 brittnyatkins _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
12564,12564,"Subject: important information thu , 30 jun 2005 .
 subject : important information thu , 30 jun 2005 .
 thank you for using our online store and for your previous order . we have updated our online software store - now we have more latest version of programs . our
 full catalog with 2100 freshest software titles available for instant download at
 web - site http : / / upsetting . tabloidez . com /
 we hope that you will tell others about your positive experience with us .
 with best wishes ,
 managing director ! ? ceo
 grover salinas
 latest news :
 idaho girl found ; brother feared dead
 keep your cool with our favorite summer drinks
 idaho girl found ; brother feared dead
 america  s amusement parks ready to ride
 http : / / www . msnbc . msn . com / id / 8444813 /",1
2796,2796,"Subject: = ? utf - 8 ? q ? bask your life with ? =
 = ? utf - 8 ? q ? individual incremen ? =
 = ? utf - 8 ? q ? t internal secretio ? =
 = ? utf - 8 ? q ? n ? =
 after the 25 years , our physical structure tardily arrests carries out
 a grave hormone known as mortal increase hormone .
 the step - down of it , which governs grades of other hormones
 in our trunk is directly answerable for all of the largest
 common signs of eld , such as wrinkles , white hair ,
 subsided energy , and diminished sexual purpose .
 read further information
",1
1468,1468,"Subject: "" bidstogo "" is places to go , things to do
 hello ,
 privacy policy : to
 permanently opt out of our mailings simply
 send a blank email to optout @ bidstogo . biz .
 bidstogo invites you
 visit and explore
 http : / / www . bidstogo . biz / , the site
 dedicated to places to go and
 things to do . you can use
 bidstogo to advertise , sell or auction
 places to go and things to do - and right now it is free to make a basic
 listing .
 bidstogo is great for
 lodging
 hotels , bed breakfasts , resorts ,
 timeshares , vacation rentals , etc .
 travel
 cruises , yacht charters , rail tours , auto
 rental , etc .
 vacation packs
 skiing , outfitters , hunting , fishing , golf , abroad , resorts ,
 etc .
 game tickets
 football , baseball , basketball , hockey , etc .
 events and festivals
 festivals , events , tournaments , races , bowl games , parades , etc .
 theme parks
 disney world , busch gardens , kings dominion ,
 sea world , etc .
 concerts
 musical concerts
 theater
 plays , operas , musicals , etc .
 training
 professional or personal training
 visit http : / / www . bidstogo . biz / .
 privacy policy : to
 permanently opt out of our mailings simply
 send a blank email to optout @ bidstogo . biz .
 contact
 customerservice
 for more information .
",1
3676,3676,"Subject: dont pay more than $ 100 for ur softwares miseries
 chheap softtwares for you , all are original oemmajor titles from micros 0 ft and adobe for rock bottom prriicegreat bargaain sale ! variety discoount softtwares at wholesale chaeap pricing !
 microsoft windows xp professional - my priice : $ 50 normal priice : $ 270 . 99 ; you savve $ 220
 microsoft office xp professional - my priice : $ 100 normal priice : $ 579 . 99 ; you savve $ 480
 adobe photoshop 7 - my priice : $ 80 normal priice : $ 609 . 99 ; you savve $ 550
 28 more popular titles > > cliickk here for more titles
 wonder why our priices are unbelievably low ?
 we are currently clearing our goods at incredibily cheeap sale - priice in connection with the shutdown of our shop and the closure of the stockhouse . don ' t missss your lucky chance to get the best priicce on discoouunt software !
 we are the authorized agent and an established reseller offering oem licensing software .
 we possesses all the necessary certificates issued to verify the authenticity of genuine oem products and granting the right for us to resell oem software products .
 super cheaep micros 0 ft , adobe & all kind soft herecliickk here to enjoy our superb discouunnt !
",1
12991,12991,"Subject: paliourg
 micros 0 ft for pennies
 check ' em out
 carney handwrite perpetrate arena bituminous bowen suffuse contrary angela cognizable wheelbase ideate cask shun buttercup
",1
9884,9884,"Subject: all graphics software available , cheap oem versions .
 good morning ,
 we we offer latest oem packages of all graphics and publishinq software from corel , macromedia , adobe and others .
 $ 80 adobe photoshop 8 . 0 / cs
 $ 140 macromedia studio mx 2004
 $ 120 adobe acrobat 7 . 0 professional
 $ 150 adobe premiere pro 1 . 5
 $ 90 corel desiqner 10
 $ 90 quickbooks 2004 professional edition
 $ 75 adobe pagemaker 7 . 0
 $ 70 xara x vl . 1
 $ 75 adobe audition 1 . 5
 $ 90 discreet 3 d studio max 7
 $ 115 adobe golive cs
 $ 135 adobe after effects 6 . 5 standard
 $ 45 adobe premiere eiements
 $ 125 corel painter lx
 $ 80 adobe iliustrator cs
 $ 80 adobe indesiqn cs
 $ 240 adobe creative suite
 $ 140 adobe framemaker 7 . 1
 $ 50 ulead cooi 3 d production studio 1 . 0 . 1
 $ 90 alias motion builder 6 professionai
 $ 30 quicken 2004 premier home & biz
 $ 30 adobe photoshop elements 3 . 0
 $ 110 adobe premiere pro 7 . 0
 learn more . . .
 sincereiy ,
 aida
",1
8221,8221,"Subject: the man of stteel
 hello , welcome to the medzonlin direction e
 - online pharmaceutical sho feverfew p .
 v escape a
 warbler um superfluity vi
 wakeless ra semiconscious ci
 shriek is
 l chastisement i
 contender ag
 a cringle l
 andmanyother .
 inhabited with our shop you get -
 best pluviometer prlces
 excellent yellowness service
 fa humidor st shipping
 private online orde gestation ring
 have a nice day .",1
5377,5377,"Subject: adjourn pasteup
 paliourg ,
 looking for not expensive high - quality software ?
 we might have just what you need .
 windows xp professional 2002 . . . . . . . . . . . . . $ 50
 adobe photoshop 7 . 0 . . . . . . . . . . . . . . . . . . . . . . $ 60
 microsoft office xp professional 2002 . . . . $ 60
 corel draw graphics suite 11 . . . . . . . . . . . . . $ 60
 and lots more . . .",1
