Date,Close/Last,Volume,Open,High,Low
09/02/2025,$229.72,44075640,$229.25,$230.85,$226.97
08/29/2025,$232.14,39418440,$232.51,$233.38,$231.37
08/28/2025,$232.56,38074700,$230.82,$233.41,$229.335
08/27/2025,$230.49,31259510,$228.61,$230.90,$228.26
08/26/2025,$229.31,54575110,$226.87,$229.49,$224.69
08/25/2025,$227.16,30983130,$226.48,$229.30,$226.23
08/22/2025,$227.76,42477810,$226.17,$229.09,$225.41
08/21/2025,$224.90,30621250,$226.27,$226.52,$223.7804
08/20/2025,$226.01,42263870,$229.98,$230.47,$225.77
08/19/2025,$230.56,39402560,$231.275,$232.87,$229.35
08/18/2025,$230.89,37476190,$231.70,$233.12,$230.11
08/15/2025,$231.59,56038660,$234.00,$234.28,$229.335
08/14/2025,$232.78,51916280,$234.055,$235.12,$230.85
08/13/2025,$233.33,69878550,$231.07,$235.00,$230.43
08/12/2025,$229.65,55672300,$228.005,$230.80,$227.07
08/11/2025,$227.18,61806130,$227.92,$229.56,$224.76
08/08/2025,$229.35,113854000,$220.83,$231.00,$219.25
08/07/2025,$220.03,90224830,$218.875,$220.85,$216.58
08/06/2025,$213.25,108483100,$205.63,$215.38,$205.59
08/05/2025,$202.92,44155080,$203.40,$205.34,$202.16
08/04/2025,$203.35,75109300,$204.505,$207.88,$201.675
