Date,Close/Last,Volume,Open,High,Low
09/02/2025,$157.09,65434970,$151.20,$158.39,$150.28
08/29/2025,$156.71,45270500,$156.98,$158.42,$153.00
08/28/2025,$158.12,57885240,$157.63,$158.23,$152.55
08/27/2025,$156.72,76380550,$162.32,$162.40,$155.9801
08/26/2025,$160.87,86573720,$155.39,$162.13,$154.57
08/25/2025,$157.17,86879820,$156.10,$158.59,$149.37
08/22/2025,$158.74,102099200,$155.315,$163.20,$151.77
08/21/2025,$156.18,94678640,$157.17,$157.97,$153.81
08/20/2025,$156.01,220336400,$152.30,$156.46,$142.34
08/19/2025,$157.75,137922700,$171.36,$172.30,$156.90
08/18/2025,$174.03,62656600,$175.27,$177.90,$171.39
08/15/2025,$177.17,60288740,$179.725,$180.00,$173.38
08/14/2025,$181.02,53472930,$182.41,$185.33,$179.20
08/13/2025,$184.37,53610030,$189.00,$189.46,$183.59
08/12/2025,$186.97,54983770,$184.70,$190.00,$182.10
08/11/2025,$182.68,56125630,$186.47,$187.18,$181.92
08/08/2025,$186.96,62657940,$184.735,$187.99,$184.41
08/07/2025,$182.20,77829180,$181.01,$184.48,$178.17
08/06/2025,$179.54,82924850,$171.175,$180.5813,$171.01
08/05/2025,$173.27,130917500,$171.81,$176.33,$169.2201
08/04/2025,$160.66,82993560,$158.53,$161.40,$157.9301
