To Kill a Mockingbird,Harper Lee,1960,281
1984,George Orwell,1949,328
The Great Gatsby,F. Scott Fitzgerald,1925,180
Pride and Prejudice,Jane Austen,1813,432
The Catcher in the Rye,J.D. Salinger,1951,277
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,309
The Hobbit,J.R.R. Tolkien,1937,310
The Lord of the Rings,J.R.R. Tolkien,1954,1178
Brave New World,Aldous Huxley,1932,311
The Chronicles of Narnia,C.S. Lewis,1950,767
Dune,Frank Herbert,1965,688
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,224
Fahrenheit 451,Ray Bradbury,1953,249
Animal Farm,George Orwell,1945,112
Slaughterhouse-Five,Kurt Vonnegut,1969,275
